2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Height,Label,MP,ORB,PF,PTS,Pick,Player,SOS,STL,School,TOV,TRB,Weight,Year
4.8,0.588,8.1,0,0,0.1,1,1.5,0,4.8,0.582,8.2,2.1,0.693,3.1,62,59,210,Role,26.8,0,2.9,11.7,42,Matt Geiger,0,0.5,Georgia Tech,2,6.9,243,1992
3.9,0.558,6.9,0,0,0,1,0.5,3.7,3.9,0.558,7,1.5,0.543,2.8,117,77,198,Non-NBA,26.7,2.3,2.8,9.3,44,Henry Williams,-0.05,0.8,South Alabama,2.5,5.9,225,1992
6,0.528,11.3,0.3,0.377,0.7,1.6,0.9,0,6.2,0.519,12,2.5,0.64,4,113,105,204,Role,31.2,0,2.1,15.2,45,Chris King,8.06,0.9,Wake Forest,2.3,5.2,215,1992
3.6,0.494,7.3,0,0.333,0,1.2,1.8,0,3.6,0.494,7.3,2.4,0.689,3.6,107,34,183.3,Non-NBA,28,0,3.7,9.7,46,Robert Werdann,8.56,1,St. John's (NY),2.6,7,250,1992
3,0.486,6.1,0,0,0,0.8,0.1,0,3,0.486,6.1,1.9,0.584,3.2,96,56,183,Role,18.6,0,3.1,7.9,47,Darren Morningstar,0,0.5,Pitt,1.4,4.4,235,1992
2.2,0.482,4.7,0.1,0.205,0.3,1.3,0.2,0,2.3,0.465,5,2.1,0.686,3,141,45,201,Non-NBA,19.8,0,1.8,6.8,48,Brian Davis,9.46,0.8,Duke,1.3,3.1,200,1992
2.1,0.421,5.1,1.6,0.392,4,1.4,0.2,2.3,3.7,0.408,9,0.8,0.699,1.1,111,93,186,Non-NBA,26.3,0.5,2.2,9.7,49,Ron Ellis,-10.02,0.6,Grambling,1.7,2.7,192,1992
4.7,0.598,7.9,0,0,0,0.9,1,0,4.7,0.598,7.9,1.9,0.59,3.3,90,39,183.3,Role,23.2,0,3.4,11.4,50,Matt Fish,-4.36,0.8,UNC Wilmington,2,6.8,235,1992
5.7,0.522,11,0.1,0.4,0.2,1.2,0.4,0,5.8,0.52,11.1,3.8,0.669,5.7,55,24,204,Non-NBA,29.2,0,3.6,15.5,51,Tim Burroughs,1.01,0.5,Jacksonville,2.6,13.3,0,1992
3.8,0.551,6.9,0.3,0.41,0.6,1.8,0.8,0,4.1,0.54,7.5,2.1,0.725,2.8,124,60,201,Non-NBA,26.9,0,2.9,10.5,52,Matt Steigenga,10.5,0.7,Michigan State,1.9,4.3,225,1992
3.6,0.474,7.5,1.1,0.38,3,2.4,0.2,0,4.7,0.448,10.5,2.5,0.751,3.4,125,0,189,Non-NBA,30.2,0,1.8,13,53,Curtis Blair,-1.61,1,Richmond,1.7,3.7,0,1992
5,0.512,9.7,1,0.373,2.7,1.6,0.6,0,6,0.482,12.4,3.8,0.807,4.7,107,18,204,Non-NBA,32.2,0,2.7,16.7,54,Brett Roberts,-6.09,1.4,Morehead State,2.6,8.4,0,1992
6.7,0.641,10.5,0.6,0.306,1.9,2.4,2.5,0,7.3,0.589,12.4,2.2,0.53,4.2,70,70,207,Star,31.9,0,2.9,17.4,1,Chris Webber,12.09,1.5,Michigan,2.9,10,245,1993
5.5,0.517,10.6,0,1,0,1.2,5.2,0,5.5,0.518,10.6,3.8,0.692,5.4,34,34,228,Role,28.9,0,3.2,14.8,2,Shawn Bradley,5.37,0.7,BYU,2.3,7.7,235,1993
4.8,0.531,9,2.2,0.346,6.2,5.9,1.3,0,6.9,0.456,15.2,4,0.717,5.5,66,0,201,Star,36.7,0,2.7,20,3,Anfernee Hardaway,9.16,2.5,Memphis,3.5,7.7,195,1993
5.4,0.577,9.3,1.5,0.376,4,2.2,0.5,0,6.9,0.516,13.3,3.5,0.697,5.1,98,98,204,Star,30.2,0,3.1,18.8,4,Jamal Mashburn,9.62,1.6,Kentucky,2.5,7.8,240,1993
6.4,0.56,11.4,2.5,0.401,6.2,2.9,0.5,0,8.9,0.504,17.6,4.7,0.805,5.9,55,53,195,Starter,34.8,0,2.4,24.9,5,Isaiah Rider,3.4,1.1,UNLV,3.4,7.1,215,1993
6.6,0.587,11.2,1.1,0.438,2.6,1.7,0.3,0,7.7,0.559,13.8,3.3,0.79,4.1,132,130,201,Starter,31.3,0,2.5,19.8,6,Calbert Cheaney,10.52,0.9,Indiana,2.1,5.4,209,1993
1.8,0.415,4.3,1.9,0.405,4.7,7.7,0,0,3.7,0.41,8.9,3.2,0.776,4.1,140,139,180,Role,34.3,0,2.3,12.4,7,Bobby Hurley,10.1,1.4,Duke,3.8,2.2,165,1993
