2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Height,Label,MP,ORB,PF,PTS,Pick,Player,SOS,STL,School,TOV,TRB,Weight,Year
5.9,0.544,10.8,0.3,0.39,0.8,2,1.6,0,6.2,0.533,11.6,4,0.738,5.4,127,126,204,Role,33.1,0,2.7,16.7,18,John Wallace,9.12,1.1,Syracuse,3.1,8.4,225,1996
2.7,0.557,4.8,0.7,0.401,1.8,1.8,1,0,3.4,0.515,6.6,1.6,0.684,2.4,103,69,183,Role,20.5,0,2.7,9.2,19,Walter McCarty,9.74,0.9,Kentucky,1.8,5.1,230,1996
5.3,0.516,10.2,0.7,0.296,2.5,1.9,0.9,0,6,0.474,12.7,1.9,0.744,2.6,33,32,204,Non-NBA,30.5,0,2.8,14.7,21,Dontae' Jones,8.72,1.1,Mississippi State,2.2,6.8,220,1996
2.7,0.519,5.2,0,0,0,0.5,2.6,0,2.7,0.517,5.2,1,0.61,1.6,102,44,183,Role,20.4,0,2,6.4,22,Roy Rogers,6.68,0.4,Alabama,1.2,5,235,1996
2.7,0.429,6.4,1.1,0.38,2.9,4.2,0.1,0,3.9,0.414,9.3,3.6,0.747,4.8,112,104,183,Starter,32.6,0,2.6,12.4,24,Derek Fisher,-2.4,1.6,Little Rock,2.4,4.4,200,1996
4,0.558,7.1,0,0.167,0.3,1.4,0.4,0,4,0.544,7.4,2.5,0.634,3.9,68,68,207,Role,28.8,0,1.8,10.5,26,Jerome Williams,8.18,1.6,Georgetown,2.3,9.3,206,1996
3.1,0.473,6.5,1.5,0.408,3.7,2.7,0.4,0,4.6,0.449,10.2,3.1,0.8,3.8,124,88,204,Role,29.1,0,1.9,13.7,27,Brian Evans,10.79,0.8,Indiana,1.8,6,220,1996
2.6,0.522,4.9,0,0,0,1.1,1.4,0,2.6,0.518,5,1,0.622,1.6,124,41,210,Role,19.2,0,2.5,6.1,29,Travis Knight,7.54,0.6,UConn,1.4,6,235,1996
4.9,0.563,8.7,0,0,0,1,1.5,0,4.9,0.561,8.8,4.1,0.732,5.6,132,132,207,Role,28.2,0,2.8,13.9,30,Othella Harrington,9.26,0.8,Georgetown,2.5,7.4,235,1996
4.4,0.597,7.4,0.4,0.374,1.1,1.6,0.3,0,4.9,0.567,8.6,3.7,0.731,5.1,108,57,207,Role,33.1,0,3.1,13.9,31,Mark Hendrickson,6.94,0.8,Washington State,2.2,8.6,220,1996
4.3,0.503,8.5,1.4,0.365,3.9,1.9,0.6,0,5.7,0.46,12.5,3.6,0.798,4.5,118,59,201,Non-NBA,29.4,0,2.7,16.5,32,Ryan Minor,8.28,1.6,Oklahoma,1.9,6.5,0,1996
2.3,0.444,5.2,2,0.354,5.6,4.9,0,0,4.3,0.397,10.8,2,0.699,2.9,29,27,183,Role,34.8,0,1.9,12.5,33,Moochie Norris,7.03,1.8,Auburn,2.6,4,175,1996
2.6,0.481,5.3,1.8,0.397,4.5,5.5,0.2,0,4.4,0.442,9.8,2.5,0.804,3.1,102,101,195,Non-NBA,30.5,0,2.3,13,36,Doron Sheffer,7.37,1.9,UConn,2,4.4,0,1996
2.7,0.5,5.3,1.4,0.397,3.5,4.4,0,0,4,0.459,8.8,1.8,0.719,2.6,100,62,192,Starter,27.4,0,1.8,11.3,37,Jeff McInnis,11.32,1.1,UNC,2,2.8,190,1996
5,0.562,8.8,0,0.273,0.1,0.7,1.2,0,5,0.558,8.9,3.6,0.661,5.5,104,91,210,Non-NBA,27.9,0,2.6,13.6,38,Steve Hamer,8.58,0.4,Tennessee,2.1,7.2,245,1996
3,0.593,5.1,0.5,0.367,1.4,1,0.5,0,3.5,0.546,6.5,2.6,0.748,3.4,88,37,204,Non-NBA,21.5,0,2.3,10.1,39,Russ Millard,7.84,0.9,Iowa,1.6,5.3,0,1996
7.9,0.58,13.6,0,0.5,0,1.2,0.7,0,7.9,0.58,13.6,3.5,0.624,5.6,56,0,204,Non-NBA,32.4,0,1.9,19.3,40,Marcus Mann,-11.77,1.2,Mississippi Valley State,2,12.7,0,1996
5.5,0.514,10.8,0.6,0.285,2.2,2.6,0.1,0,6.2,0.474,13,4.7,0.727,6.4,119,59,201,Non-NBA,32.4,0,2.4,17.7,41,Jason Sasser,1.49,1.2,Texas Tech,2.6,7.5,225,1996
2.9,0.459,6.3,0.7,0.247,2.9,7.6,0.2,0,3.6,0.392,9.2,2.5,0.72,3.4,29,28,192,Role,29.9,0,2.1,10.4,42,Randy Livingston,6.31,2.3,LSU,4.2,3.2,209,1996
4.7,0.544,8.7,0,0,0,0.6,0.5,0,4.7,0.544,8.7,3.1,0.676,4.5,54,40,207,Non-NBA,27.4,0,2.7,12.5,43,Ben Davis,0,0.6,Arizona,2.1,8.1,240,1996
6.1,0.554,10.9,0.1,0.292,0.2,1,1,0,6.1,0.549,11.1,4.6,0.641,7.2,120,0,201,Role,30.4,0,3.3,16.9,44,Malik Rose,-5.86,0.8,Drexel,2.8,12.6,250,1996
3.1,0.464,6.7,0.2,0.375,0.4,0.4,1.6,0,3.3,0.459,7.1,1.6,0.664,2.5,115,80,183,Non-NBA,21.8,0,2.7,8.3,45,Joe Vogel,3.29,0.5,Colorado State,1.3,4.5,0,1996
4.8,0.548,8.7,1.5,0.372,3.9,2.5,0.3,0,6.2,0.493,12.7,5,0.849,5.8,118,90,189,Non-NBA,28.7,0,2.7,18.9,46,Marcus Brown,-5.29,2,Murray State,2.2,4.1,185,1996
3.3,0.46,7.3,2.3,0.316,7.2,2.1,0.5,0,5.6,0.389,14.4,2.3,0.706,3.3,116,31,195,Non-NBA,30.2,0,2.4,15.8,47,Ron Riley,7.43,1.7,Arizona State,2.5,5,0,1996
2.3,0.532,4.4,0.2,0.294,0.6,1.2,0.4,0,2.5,0.502,5,1.4,0.577,2.4,106,31,207,Role,22.8,0,1.8,6.6,48,Jamie Feick,8.92,0.6,Michigan State,1.3,6.7,255,1996
2.9,0.546,5.4,0,0.4,0,0.8,1.6,0,3,0.545,5.4,1.8,0.644,2.8,111,30,183.3,Non-NBA,19.8,0,2.6,7.8,49,Amal McCaskill,5.12,0.4,Marquette,1.7,6.3,235,1996
1.1,0.497,2.2,0.5,0.33,1.4,1.4,0.6,2.7,1.6,0.43,3.6,0.8,0.606,1.2,133,69,201,Non-NBA,20.2,1.2,1.7,4.3,50,Terrell Bell,6.21,0.6,Virginia Tech,1,3.9,205,1996
4.4,0.519,8.5,1,0.323,3,1.9,0.4,0,5.4,0.468,11.4,2.1,0.689,3.1,120,88,195,Role,27.8,0,2.8,13.8,51,Chris Robinson,0.46,1.7,Western Kentucky,2.1,5.5,200,1996
2.1,0.523,4,0.5,0.416,1.3,1,1.2,0,2.7,0.497,5.3,2.1,0.704,2.9,69,14,183,Role,21.1,0,2.8,7.9,52,Mark Pope,0,0.9,Kentucky,1.3,5.7,235,1996
6.3,0.564,11.2,0.1,0.302,0.4,2,0.4,0,6.4,0.556,11.6,2.9,0.741,4,120,100,201,Non-NBA,31.3,0,2.2,15.9,53,Jeff Nordgaard,-2.36,0.9,Green Bay,2,5.8,225,1996
4.5,0.532,8.5,0.4,0.291,1.4,2.7,0.3,0,4.9,0.498,9.9,2.6,0.634,4.1,118,90,198,Role,26.7,0,2.5,12.9,54,Shandon Anderson,7.93,1.8,Georgia,2.9,5,208,1996
4.6,0.508,9.1,2.5,0.323,7.6,1.6,0.5,0,7.1,0.424,16.7,3.6,0.712,5.1,77,56,192,Non-NBA,30.8,0,2.7,20.3,55,Ronnie Henderson,7.06,1.4,LSU,2.5,4.5,0,1996
1.6,0.501,3.1,0.9,0.347,2.6,4.4,0.6,0,2.5,0.432,5.7,1.2,0.589,2,127,101,186,Non-NBA,28,0,2.8,7,56,Reggie Geary,8.99,1.6,Arizona,2.4,2.7,187,1996
2,0.535,3.7,1.5,0.369,4.1,6.2,0.4,0,3.5,0.447,7.8,2.2,0.778,2.8,117,98,195,Non-NBA,33.4,0,1.8,10.7,57,Drew Barry,10.33,1.6,Georgia Tech,3.1,4.1,191,1996
3,0.457,6.6,0.3,0.329,1,1.2,0.7,0,3.4,0.44,7.7,1.2,0.515,2.3,84,32,183.3,Non-NBA,17.9,0,2.2,8.3,58,Darnell Robinson,8.74,0.6,Arkansas,1.8,4.8,0,1996
6,0.588,10.3,0.1,0.321,0.4,2.3,3.8,0,6.2,0.577,10.7,4.1,0.689,5.9,128,127,183.3,Star,35.1,0,2.4,16.5,1,Tim Duncan,9.95,0.5,Wake Forest,2.6,12.3,248,1997
5.6,0.575,9.8,1.7,0.401,4.2,1.2,1,0,7.3,0.522,14,4.5,0.851,5.3,122,89,183,Starter,30.6,0,2.1,20.8,2,Keith Van Horn,4.78,0.7,Utah,2.3,8.8,220,1997
3.2,0.437,7.4,2.2,0.382,5.7,5.1,0.1,0,5.4,0.413,13.1,5.6,0.857,6.5,55,54,189,Star,33.9,0,2.3,18.5,3,Chauncey Billups,6.4,1.9,Colorado,3.7,5.6,202,1997
5.1,0.54,9.5,0.8,0.396,1.9,5.2,0.3,0,5.9,0.515,11.4,3.6,0.758,4.8,111,79,192,Role,33.3,0,1.5,16.1,4,Antonio Daniels,1.37,1.5,Bowling Green State,2.8,2.9,195,1997
4.1,0.56,7.3,0.1,0.278,0.4,0.8,1.9,0,4.2,0.545,7.7,2.1,0.649,3.3,87,57,183.3,Role,24.7,0,2.6,10.7,5,Tony Battie,3.57,0.6,Texas Tech,1.6,8.3,230,1997
4.4,0.529,8.3,0.9,0.344,2.8,1.9,0.2,0,5.3,0.483,11,1.8,0.782,2.2,76,53,201,Starter,26,0,1.9,13.3,6,Ron Mercer,9.66,1.3,Kentucky,1.4,4.1,210,1997
4.4,0.507,8.6,1.5,0.336,4.4,2.1,1,0,5.8,0.45,13,3.8,0.796,4.8,32,31,183,Starter,31.4,0,2.8,16.9,7,Tim Thomas,9.44,1.8,Villanova,2.8,6,230,1997
8.2,0.551,14.8,0,0.1,0.1,1.5,5.7,0,8.2,0.547,15,4,0.491,8.2,87,0,183,Role,36.5,0,2.4,20.4,8,Adonal Foyle,-5,0.7,Colgate,3.8,12.7,250,1997
6.6,0.566,11.6,0,0,0,1.2,0.4,0,6.6,0.565,11.6,5.7,0.743,7.7,100,91,201,Role,26.9,0,3.5,18.8,10,Danny Fortson,7.35,0.9,Cincinnati,2.6,8.7,260,1997
6.5,0.504,12.8,0.9,0.324,2.7,1.8,0.8,0,7.3,0.473,15.5,5.1,0.734,6.9,51,26,198,Role,30.7,0,3,20.6,11,Tariq Abdul-Wahad,0,1.3,San Jose State,3,7.6,223,1997
2.9,0.502,5.7,1.2,0.34,3.6,1,0.6,0,4.1,0.44,9.3,3.2,0.843,3.8,121,40,207,Role,23.6,0,2,12.6,12,Austin Croshere,8.87,0.9,Providence,1.9,5.3,235,1997
3,0.551,5.5,1.1,0.399,2.8,2.8,0.2,0,4.1,0.5,8.3,2.9,0.797,3.6,55,40,195,Starter,21.5,0,2.2,12.3,13,Derek Anderson,0,1.8,Kentucky,1.5,3.6,194,1997
5.3,0.5,10.7,0.1,0.313,0.2,1.2,0.9,0,5.4,0.497,10.8,2.1,0.642,3.2,98,94,207,Role,28.5,0,2.9,12.9,14,Maurice Taylor,9.34,0.6,Michigan,2.1,6.1,260,1997
4,0.444,9.1,0,0,0,0.6,3.4,0,4,0.443,9.1,2.4,0.589,4.1,55,58,183.3,Role,27.2,0,3.1,10.5,15,Kelvin Cato,0,0.9,Iowa State,1.7,8.1,255,1997
3.7,0.439,8.4,0.8,0.336,2.4,6.8,0.1,0,4.5,0.416,10.8,5.1,0.798,6.4,115,85,153,Role,32.2,0,2.8,14.9,16,Brevin Knight,7.62,2.6,Stanford,3.5,3.8,173,1997
5.3,0.55,9.6,1.1,0.337,3.2,2,0.8,0,6.4,0.497,12.8,3.4,0.692,5,62,60,207,Role,30.1,0,3,17.3,17,Johnny Taylor,-5.62,1,Chattanooga,2.4,7.2,220,1997
3.3,0.549,6,0,1,0,0.5,1.7,0,3.3,0.549,6,2.8,0.669,4.2,128,62,183.3,Role,21.5,0,2.6,9.4,19,Scot Pollard,8.45,0.8,Kansas,1.5,6.6,265,1997
4.6,0.496,9.3,0,0,0,0.8,1.2,0,4.6,0.494,9.3,3.3,0.713,4.6,28,26,210,Non-NBA,27.3,0,2.9,12.5,20,Paul Grant,0,0.5,Wisconsin,2.2,5.2,245,1997
2.9,0.5,5.9,1.7,0.379,4.6,3.2,0.7,0,4.7,0.447,10.5,3.9,0.75,5.2,112,107,198,Starter,32.2,0,2,15,21,Anthony Parker,2.24,1.4,Bradley,2.5,5.7,215,1997
5.4,0.503,10.7,1.4,0.318,4.5,1.9,0.2,0,6.9,0.448,15.3,4.9,0.79,6.2,54,37,189,Role,28.3,0,2.6,20,22,Ed Gray,0,1.6,California,2.7,3.3,210,1997
4.1,0.471,8.7,1,0.307,3.2,3.5,0.3,0,5.1,0.427,11.9,3.3,0.786,4.1,60,67,183,Role,29.7,0,2.8,14.4,23,Bobby Jackson,8.06,1.8,Minnesota,2.3,5.5,185,1997
3.4,0.483,7,1.2,0.37,3.2,4.2,0.3,0,4.6,0.447,10.2,3.7,0.597,6.2,25,16,198,Role,28.6,0,2.6,14,24,Rodrick Rhodes,0,1.6,USC,3.8,4.9,225,1997
2.8,0.497,5.7,0,0,0,0.7,0.8,0,2.8,0.496,5.7,1.5,0.536,2.8,124,99,207,Role,20.7,0,2.4,7.1,25,John Thomas,8.18,0.6,Minnesota,1.5,5.1,265,1997
0,0.559,0,0,0.273,0,1.4,2.8,0,5.8,0.5,11.6,5.1,0.753,6.8,122,122,183,Role,33.6,0,3,16.8,26,Charles Smith,6.9,0.9,Pitt,2,8.1,230,1997
2.2,0.496,4.5,0.8,0.383,2.2,6.4,0.1,0,3,0.459,6.6,2.7,0.708,3.7,126,125,183,Role,30.2,0,2.2,9.6,27,Jacque Vaughn,8.45,1.3,Kansas,2.8,3,190,1997
4.5,0.478,9.4,0.2,0.21,0.8,2.3,0.6,0,4.7,0.456,10.2,4.6,0.699,6.5,126,126,198,Non-NBA,30.7,0,3.2,14.1,28,Keith Booth,9.21,1.5,Maryland,3.2,7.3,226,1997
3,0.502,6,0,0.333,0,0.4,1.1,0,3,0.501,6.1,0.9,0.696,1.2,120,66,219,Non-NBA,20.2,0,1.9,7,29,Serge Zwikker,11.49,0.2,UNC,0.8,5,273,1997
5.4,0.51,10.5,1,0.293,3.3,1.5,0.8,0,6.3,0.458,13.8,2.4,0.658,3.7,82,52,207,Non-NBA,29.8,0,3,16.1,30,Mark Sanford,7.95,1.2,Washington,2.8,6.6,0,1997
4.9,0.578,8.5,0.6,0.343,1.7,2.5,1,0,5.5,0.538,10.3,2.8,0.751,3.7,124,122,195,Non-NBA,31.5,0,2.4,14.4,31,Charles O'Bannon,8.64,1.1,UCLA,2.3,6.4,209,1997
0.8,0.469,1.7,0,0,0.1,0.4,0.3,2,0.8,0.441,1.8,1.4,0.634,2.2,19,3,201,Non-NBA,13.9,0.7,2.4,2.9,32,James Cotton,-7.38,0.6,Maryland-Eastern Shore,0.9,2.7,205,1997
7.4,0.541,13.7,0.9,0.405,2.2,2,0.9,0,8.3,0.522,15.9,4.1,0.747,5.5,105,99,195,Role,31.8,0,2.4,21.6,34,Bubba Wells,-5.11,1.3,Austin Peay,2.4,6.9,230,1997
5.9,0.493,12,0,0.2,0.1,0.8,0.8,0,6,0.49,12.1,6,0.638,9.4,43,36,204,Non-NBA,34.3,0,3.1,18,35,Kebu Stewart,1.5,1,UNLV,3.2,10.8,239,1997
3.5,0.522,6.7,2.3,0.372,6.1,2.5,0.3,0,5.8,0.45,12.8,2.2,0.679,3.3,112,101,192,Non-NBA,32.8,0,2.6,16,36,James Collins,9.52,1.7,Florida State,2.4,4.5,196,1997
5.6,0.478,11.7,0.1,0.4,0.2,1,0.5,0,5.7,0.477,11.9,4.5,0.717,6.2,63,31,183,Role,36.8,0,2,15.9,37,Marc Jackson,0,0.7,Temple,2.4,9,270,1997
4.8,0.477,10,1.5,0.308,5,3.4,1.3,0,6.3,0.421,15,3.5,0.672,5.2,125,90,207,Role,33.4,0,2.4,17.7,38,Jerald Honeycutt,3.6,1.9,Tulane,3.8,7,245,1997
2.3,0.485,4.7,0.6,0.404,1.4,4.4,0.2,0,2.9,0.466,6.1,1.9,0.725,2.6,117,30,189,Role,24,0,1.9,8.2,39,Anthony Johnson,-6.87,1.2,College of Charleston,1.7,2.6,190,1997
3,0.551,5.4,0,0.4,0,0.8,1.5,0,3,0.55,5.5,1.4,0.591,2.3,122,95,207,Non-NBA,26.2,0,2.7,7.4,40,Eddie Elisma,10.73,0.7,Georgia Tech,1.5,6.3,213,1997
4.1,0.587,6.9,0,0,0,1.4,2.9,0,4.1,0.586,7,3.8,0.692,5.5,131,131,183.3,Non-NBA,29.1,0,3.5,11.9,41,Jason Lawson,10.1,0.7,Villanova,2.6,6.9,240,1997
4.5,0.575,7.8,0.2,0.333,0.5,0.9,1.1,0,4.6,0.562,8.2,2.2,0.546,4.1,53,42,183.3,Non-NBA,25.7,0,2.2,11.6,43,Gordon Malone,7.76,0.9,West Virginia,2.3,7.6,0,1997
0,0,0,0,0,0,0.9,1.1,0,6,0.544,11,3.5,0.683,5.2,28,0,204,Role,26.5,0,3,15.5,44,Cedric Henderson,7.17,1.8,Georgia,2,7.1,210,1997
2.7,0.462,5.9,0.5,0.208,2.2,6.6,0.1,0,3.2,0.393,8.1,3.4,0.676,5.1,65,34,180,Non-NBA,32.5,0,3.3,10.3,45,God Shammgod,8.88,2,Providence,3,2,169,1997
2.4,0.494,4.9,2.3,0.386,6.1,1,0.5,0,4.7,0.435,10.9,1.9,0.785,2.4,112,72,192,Role,25.6,0,2,13.7,46,Eric Washington,6.25,1.3,Alabama,1.7,5,190,1997
2.7,0.493,5.5,1,0.35,2.9,4.2,0.3,0,3.7,0.443,8.4,2.4,0.726,3.4,131,85,195,Starter,30,0,2.6,10.9,47,Alvin Williams,10.1,1.5,Villanova,2.3,3.7,185,1997
2.5,0.471,5.2,0.8,0.373,2,0.8,0.4,0,3.2,0.444,7.3,2.1,0.721,2.9,113,58,207,Role,22,0,2.7,9.3,50,Chris Crawford,5.48,0.6,Marquette,1.5,3.5,235,1997
3,0.538,5.5,2.4,0.377,6.3,3.7,0.2,0,5.3,0.452,11.8,3,0.755,4,136,68,180,Non-NBA,33.5,0,1.7,16.1,51,DeJuan Wheat,8.2,1.5,Louisville,2.3,2.6,165,1997
4.6,0.567,8.1,0.1,0.235,0.3,1.2,1.1,0,4.7,0.557,8.4,3.7,0.629,5.8,64,53,210,Non-NBA,28.5,0,2.5,13.1,53,Paul Rogers,-1.08,0.4,Gonzaga,2,6.7,0,1997
2.4,0.466,5.2,0,0.5,0,0.7,1.9,0,2.4,0.466,5.2,1.6,0.518,3,56,36,210,Role,20.5,0,3.1,6.4,54,Mark Blount,9.17,0.5,Pitt,2.3,3.6,230,1997
3.6,0.531,6.7,2.4,0.396,5.9,2.8,0.3,0,5.9,0.468,12.6,2.5,0.722,3.5,60,30,195,Non-NBA,34.2,0,2.4,16.7,56,Nate Erdmann,0,1.6,Oklahoma,2.7,5.2,0,1997
5.8,0.592,9.7,0,0,0,0.5,2.1,0,5.8,0.592,9.7,2,0.466,4.3,77,14,210,Starter,22.5,0,2.3,13.5,1,Michael Olowokandi,-1.16,0.2,Pacific,2,7.5,269,1998
3.1,0.514,6.1,2.1,0.39,5.3,5.5,0.2,0,5.2,0.456,11.4,2.9,0.73,3.9,69,69,183,Star,32.3,0,1.9,15.4,2,Mike Bibby,9.7,2.3,Arizona,2.6,3.1,190,1998
6.2,0.56,11.1,0.1,0.371,0.3,0.7,1.1,0,6.3,0.555,11.3,3.1,0.712,4.3,131,131,183.3,Starter,27.5,0,2.5,15.8,3,Raef LaFrentz,7.93,0.7,Kansas,2,9.1,240,1998
7.5,0.583,12.9,0.1,0.296,0.3,0.9,0.8,0,7.6,0.577,13.1,3.8,0.617,6.1,104,95,207,Star,33.4,0,2.5,19,4,Antawn Jamison,11.27,0.9,UNC,1.8,9.9,222,1998
3.7,0.625,5.9,1,0.368,2.6,1.9,0.8,0,4.7,0.547,8.5,2,0.705,2.8,103,80,201,Star,26,0,1.8,12.3,5,Vince Carter,11.27,1.1,UNC,1.2,4.5,215,1998
5.5,0.566,9.6,0,0,0,1.5,1.1,0,5.5,0.566,9.6,2.4,0.545,4.4,91,73,204,Role,27.3,0,3.2,13.3,6,Robert Traylor,9.57,1.1,Michigan,2.9,8.2,284,1998
2.9,0.483,6,2.7,0.403,6.7,6.7,0.2,0,5.6,0.441,12.7,3.2,0.84,3.8,20,17,183,Starter,31.8,0,1.5,17.1,7,Jason Williams,0,2.7,Florida,4.4,3,190,1998
5.7,0.461,12.3,1.3,0.29,4.5,2.4,0.4,0,7,0.415,16.9,5.6,0.692,8.1,32,32,195,Starter,32.4,0,2.4,20.9,8,Larry Hughes,5.5,2.2,Saint Louis,3.8,5.1,184,1998
5,0.518,9.6,1,0.355,2.8,2.2,0.9,0,6,0.481,12.4,3.4,0.697,4.9,108,103,198,Star,28.1,0,2.5,16.4,10,Paul Pierce,7.23,1.4,Kansas,2.8,6.3,230,1998
6.6,0.526,12.6,1.2,0.325,3.8,3.3,0.8,0,7.9,0.48,16.4,4.5,0.681,6.5,116,86,195,Starter,30.5,0,2.9,21.4,11,Bonzi Wells,1.65,3,Ball State,3.5,7.3,210,1998
3.7,0.496,7.5,0.2,0.404,0.4,0.6,0.9,0,3.9,0.491,7.8,3.5,0.784,4.5,133,66,183.3,Role,23.5,0,2.4,11.4,12,Michael Doleac,5.41,0.5,Utah,1.5,6.7,262,1998
5.5,0.567,9.7,0.3,0.37,0.7,1.3,3.5,0,5.8,0.554,10.4,3,0.638,4.7,39,14,183.3,Role,29.2,0,3.4,14.8,13,Keon Clark,4.42,0.6,UNLV,2.6,8.2,220,1998
4,0.494,8,1.2,0.367,3.2,1.5,0.2,0,5.1,0.458,11.2,2.3,0.728,3.2,130,80,195,Starter,24.1,0,1.9,13.8,14,Michael Dickerson,9.54,0.8,Arizona,1.9,3.7,190,1998
4.4,0.523,8.4,1.7,0.361,4.7,2.3,0.2,0,6.1,0.465,13.1,4.1,0.753,5.4,124,119,201,Starter,36.1,0,2.4,17.9,15,Matt Harpring,10.63,1.4,Georgia Tech,2.9,8,231,1998
2.7,0.466,5.9,3,0.435,6.9,5.2,0.1,0,5.8,0.449,12.8,3.2,0.834,3.8,121,31,186,Role,35.3,0,2.2,17.7,16,Bryce Drew,-6.41,1.5,Valparaiso,2.6,3.1,185,1998
5.8,0.516,11.3,0.9,0.358,2.5,2,0.6,0,6.7,0.488,13.8,4.4,0.747,5.9,111,111,207,Role,32.9,0,2.8,18.8,19,Pat Garrity,6.81,0.8,Notre Dame,3.1,7,238,1998
3.9,0.526,7.4,1,0.397,2.6,1.1,0.9,0,4.9,0.492,10,2.8,0.74,3.8,69,57,204,Role,23.9,0,3,13.6,20,Roshown McLeod,0,1,Duke,1.8,5.4,221,1998
4.7,0.518,9,0.9,0.308,2.9,2.4,0.3,0,5.6,0.466,12,2.9,0.698,4.2,31,26,198,Starter,26.6,0,1.7,15,21,Ricky Davis,6.05,1.2,Iowa,3.4,4.8,195,1998
6.5,0.575,11.4,0,0,0,0.6,3.4,0,6.5,0.575,11.4,3.5,0.558,6.2,103,102,207,Role,33,0,3,16.5,22,Brian Skinner,2.15,1.1,Baylor,0,8.9,255,1998
4.2,0.489,8.6,1.5,0.356,4.1,4.4,0.1,0,5.7,0.446,12.7,3.2,0.788,4,99,96,180,Role,33.7,0,2.3,15.9,23,Tyronn Lue,6.46,1.6,Nebraska,3.6,3.4,175,1998
3.6,0.471,7.6,1.3,0.365,3.6,1.7,0.2,0,4.9,0.437,11.2,2,0.718,2.8,130,92,192,Role,25.3,0,2.7,13.1,26,Sam Jacobson,7.69,1,Minnesota,2,4.8,215,1998
5,0.586,8.6,1.3,0.305,4.4,1.8,0.6,0,6.4,0.491,13,3.4,0.688,4.9,48,39,198,Role,26.5,0,3.3,17.5,28,Corey Benjamin,8.71,1.5,Oregon State,3.1,4.5,200,1998
3.6,0.555,6.4,0,0,0,0.5,1.4,0,3.6,0.553,6.4,1.5,0.581,2.6,94,39,183,Role,16.2,0,2.2,8.7,29,Nazr Mohammed,9.72,0.8,Kentucky,1.5,5.7,221,1998
3.9,0.468,8.3,0.6,0.268,2.1,2.1,0.9,0,4.4,0.428,10.4,3.6,0.724,4.9,110,85,207,Role,29.1,0,2.8,13,30,Ansu Sesay,5.85,0.9,Ole Miss,0,6.4,225,1998
4.9,0.575,8.5,0.6,0.274,2.1,1.7,0.4,0,5.5,0.515,10.6,3.3,0.603,5.4,50,40,195,Role,25.1,0,2.2,14.8,31,Ruben Patterson,5.24,1.1,Cincinnati,2.7,5.9,224,1998
4.4,0.694,6.4,0,0,0,1.1,2.4,0,4.4,0.694,6.4,1.5,0.462,3.3,78,59,183,Role,26.7,0,2.4,10.4,33,Jelani McCoy,9.59,0.6,UCLA,2.3,7.1,245,1998
1.7,0.523,3.2,1.7,0.403,4.3,3,0,0,3.4,0.455,7.6,2.2,0.849,2.6,134,67,183,Role,23.8,0,1.2,10.8,34,Shammond Williams,11.73,0.7,UNC,2,2.5,201,1998
6.3,0.496,12.8,0,0,0,0.7,4.5,0,6.3,0.495,12.8,3.3,0.527,6.2,81,27,210,Role,27,0,0,16,36,Jerome James,-10.49,0.5,Florida A&M,3.5,9.2,300,1998
5.3,0.547,9.7,0,0,0,1.2,1,0,5.3,0.546,9.7,3.3,0.594,5.5,113,26,183.3,Non-NBA,31.3,0,2.9,13.8,37,Casey Shaw,0.59,0.5,Toledo,0,7.7,260,1998
5.9,0.507,11.6,0.3,0.304,0.9,1.2,0.5,0,6.2,0.492,12.6,4.2,0.748,5.6,119,90,207,Non-NBA,30.2,0,2.7,16.8,38,DeMarco Johnson,5.58,1.1,Charlotte,1.9,7.8,245,1998
1.8,0.513,3.4,2,0.337,5.9,7.3,0.4,0,3.8,0.401,9.4,1.5,0.758,2,33,0,186,Starter,31.2,0,2.9,11,39,Rafer Alston,5.63,2.1,Fresno State,3.4,2.2,171,1998
3.4,0.49,7,1.6,0.354,4.4,2,0.4,0,5,0.438,11.5,2.8,0.821,3.4,93,79,192,Star,29.7,0,2.8,14.3,41,Cuttino Mobley,5.73,1.5,Rhode Island,2,4.2,190,1998
3.2,0.523,6.2,1.5,0.374,4.1,3.6,0.1,0,4.8,0.463,10.3,3.5,0.767,4.6,114,90,189,Non-NBA,30.6,0,1.9,14.6,42,Miles Simon,9.54,1.1,Arizona,2.9,3.8,202,1998
2.2,0.539,4.1,0,0,0,0.2,1.4,0,2.2,0.539,4.1,1.2,0.462,2.6,105,42,207,Role,14.1,0,2.4,5.6,43,Jahidi White,7.05,0.5,Georgetown,1.5,4.6,290,1998
2.4,0.493,4.8,0.1,0.4,0.3,0.5,0.8,0,2.5,0.487,5.1,1.4,0.669,2.1,86,33,183,Non-NBA,17,0,2,6.5,44,Sean Marks,8.35,0.6,California,1.5,4.4,250,1998
3.9,0.519,7.6,1.3,0.341,3.9,3.6,0.4,0,5.3,0.459,11.5,2.5,0.667,3.7,129,108,198,Non-NBA,32.7,0,2.4,14.3,45,Toby Bailey,9.7,1.1,UCLA,3.1,5.2,213,1998
3.9,0.504,7.7,0.4,0.313,1.2,1.3,1,0,4.3,0.479,8.9,2.4,0.755,3.1,121,100,207,Non-NBA,24.7,0,3,11.3,46,Andrae Patterson,10,0.9,Indiana,2.2,5.7,238,1998
