2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Height,MP,ORB,PF,PTS,Pick,Player,SOS,STL,School,TOV,TRB,Weight,Year
2.6,0.544,4.8,1.3,0.358,3.6,5.1,0.1,2.6,3.9,0.464,8.4,1.4,0.813,1.8,64,48,195,31,0.3,1.9,10.5,31,Andrew Nembhard,,1.3,Gonzaga,1.6,2.9,193,2022
1.4,0.426,3.4,1.8,0.355,5,1.4,0.2,3.2,3.2,0.384,8.4,1.9,0.783,2.4,34,34,204,32,0.8,1.7,10.1,32,Caleb Houstan,11.02,0.7,Michigan,1.5,4,205,2022
2.9,0.597,4.8,0,0,0.1,0.7,1.8,3.1,2.9,0.59,4.9,1.6,0.67,2.3,91,56,213,17.9,2,2.3,7.3,33,Christian Koloko,7.8,0.5,Arizona,0.9,5.1,225,2022
2.4,0.534,4.5,0.4,0.255,1.5,1.8,0.9,6.3,2.8,0.464,6,2,0.731,2.7,63,40,183,25.2,1.3,2.3,7.9,34,Jaylin Williams,7.9,1,Arkansas,1.4,7.7,245,2022
2.1,0.429,4.9,1.1,0.317,3.5,1.5,0.5,2.6,3.2,0.382,8.4,1.7,0.824,2.1,35,35,198,30.8,0.9,1.1,9.3,35,Max Christie,9.96,0.5,Michigan State,1.5,3.5,190,2022
3.9,0.504,7.8,1.4,0.383,3.8,4.7,0.2,2.6,5.4,0.464,11.5,1.8,0.606,2.9,34,34,180,30.8,0.7,2,13.9,38,Kennedy Chandler,9.94,2.2,Tennessee,2.5,3.2,172,2022
3.9,0.478,8.1,1.3,0.274,4.7,1.4,0.3,4.5,5.2,0.403,12.8,5.2,0.831,6.3,31,31,201,33.3,0.7,2,16.8,40,Bryce McGowens,8.25,0.7,Nebraska,2.1,5.2,179,2022
3.8,0.528,7.3,0.8,0.341,2.5,1.6,1.6,4.4,4.7,0.48,9.8,3.9,0.749,5.2,92,61,201,26.4,1.7,2.4,14.1,41,E.J. Liddell,10.5,0.5,Ohio State,1.7,6.1,240,2022
2.6,0.522,4.9,1.5,0.312,4.8,2.7,0.1,2.6,4.1,0.419,9.8,1.8,0.67,2.7,36,26,192,30.2,0.8,1.3,11.5,42,Trevor Keels,7.26,1.2,Duke,1.3,3.4,221,2022
3.6,0.564,6.3,0.1,0.214,0.4,0.8,0.9,3.6,3.7,0.542,6.8,1.6,0.619,2.6,32,26,183.3,24.9,2.4,2.7,9,43,Moussa Diabaté,11.02,0.3,Michigan,1.5,6,210,2022
4.5,0.521,8.7,1.4,0.317,4.3,3.1,0.2,4.8,5.9,0.453,13,3.2,0.796,4.1,64,64,192,31.5,0.8,2.6,16.4,44,Ryan Rollins,-2.55,1.4,Toledo,2.3,5.6,180,2022
2.5,0.559,4.4,0.1,0.143,0.4,0.9,0.7,2.2,2.5,0.522,4.8,1.5,0.754,2,33,5,204,14.6,1.6,1.8,6.6,45,Josh Minott,7.86,0.8,Memphis,0.9,3.8,205,2022
1.6,0.507,3.2,1.1,0.367,3,1.9,0.5,3.4,2.7,0.44,6.2,2.1,0.773,2.7,110,54,198,23.4,1,2.3,8.6,47,Vince Williams Jr.,4.22,1.2,VCU,1.9,4.4,210,2022
3.5,0.638,5.4,0.4,0.341,1.2,1.9,0.4,3.1,3.9,0.584,6.6,1.5,0.689,2.2,34,34,204,27,1.7,2.3,9.7,48,Kendall Brown,8.76,1,Baylor,1.7,4.9,205,2022
3,0.492,6.1,0.7,0.36,2,2,0.8,4.9,3.7,0.46,8.1,2,0.596,3.3,95,72,183,27.5,2.1,2.2,10.1,49,Isaiah Mobley,7.99,0.6,USC,1.5,7,235,2022
3.3,0.467,7.1,1.2,0.393,2.9,1.5,0.5,4.9,4.5,0.446,10.1,2,0.682,3,51,50,198,31.2,2.6,2,12.2,51,Tyrese Martin,,0.9,UConn,1.6,7.5,215,2022
2.2,0.565,4,0.8,0.301,2.5,4.3,0.4,3.7,3,0.463,6.5,1.8,0.728,2.5,33,5,189,25.8,1.1,1.2,8.5,53,JD Davison,11.59,1,Alabama,2.9,4.8,195,2022
2.9,0.515,5.6,1,0.399,2.5,0.9,0.6,5.4,3.9,0.479,8.1,2.7,0.783,3.5,59,33,204,22,1.7,2.3,11.5,59,Jabari Walker,7.86,0.6,Colorado,1.8,7.2,200,2022
